@id,@type,theme,title,description,publisher.name,inSeries,isDescriptionOf,fromSample,datamodel,datamodelStorage,distribution.downloadURL,distribution.mediaType,distribution.parser,magnification,highVoltage_kV,positionNo
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m001,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m001.tif,image/tiff,parser:sem_hitachi,400,5,1
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m002,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m002.tif,image/tiff,parser:sem_hitachi,400,5,2
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m003,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m003.tif,image/tiff,parser:sem_hitachi,400,5,3
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m004,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m004.tif,image/tiff,parser:sem_hitachi,400,5,4
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m005,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m005.tif,image/tiff,parser:sem_hitachi,400,5,5
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m006,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m006.tif,image/tiff,parser:sem_hitachi,400,5,6
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m007,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m007.tif,image/tiff,parser:sem_hitachi,400,5,7
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m008,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m008.tif,image/tiff,parser:sem_hitachi,400,5,8
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m009,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m009.tif,image/tiff,parser:sem_hitachi,400,5,9
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m010,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m010.tif,image/tiff,parser:sem_hitachi,400,5,10
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m011,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m011.tif,image/tiff,parser:sem_hitachi,400,5,11
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m012,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m012.tif,image/tiff,parser:sem_hitachi,400,5,12
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m013,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m013.tif,image/tiff,parser:sem_hitachi,400,5,13
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m014,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m014.tif,image/tiff,parser:sem_hitachi,400,5,14
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m015,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m015.tif,image/tiff,parser:sem_hitachi,400,5,15
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m016,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_400x_m016.tif,image/tiff,parser:sem_hitachi,400,5,16
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m001,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m001.tif,image/tiff,parser:sem_hitachi,800,5,1
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m002,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m002.tif,image/tiff,parser:sem_hitachi,800,5,2
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m003,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m003.tif,image/tiff,parser:sem_hitachi,800,5,3
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m004,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m004.tif,image/tiff,parser:sem_hitachi,800,5,4
semdata:SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m005,sem:SEMImage,SEM,SEM image of cement,"Back-scattered SEM image of cement sample 77600 from Heidelberg, polished with 1 µm diamond compound.",Sigurd Wenner,semdata:SEM_cement_batch2/77600-23-001,mat:concrete1,sample:SEM_cement_batch2/77600-23-001,http://onto-ns.com/meta/matchmaker/0.2/SEMImage,https://github.com/HEU-MatCHMaker/DataDocumentation/blob/master/SEM/datamodels/SEMImage.yaml,sftp://nas.aimen.es/P_MATCHMAKER_SHARE_SINTEF/SEM_cement_batch2/77600-23-001/77600-23-001_5kV_800x_m005.tif,image/tiff,parser:sem_hitachi,800,5,5
